Date,Filename,Original Size (B),Optimized To (B),Savings (%)
1/20/2015 4:20:55 PM, images/UserDefinedDataType.png, 299, 212, 29.1
1/20/2015 4:20:56 PM, images/UserDataType.png, 411, 233, 43.3
1/20/2015 4:20:56 PM, images/UserControl.png, 319, 212, 33.5
1/20/2015 4:20:56 PM, images/UserBuild.png, 398, 236, 40.7
1/20/2015 4:20:57 PM, images/UserApplication.png, 336, 207, 38.4
1/20/2015 4:20:57 PM, images/User.png, 378, 218, 42.3
1/20/2015 4:20:57 PM, images/UseCase.png, 370, 231, 37.6
1/20/2015 4:20:58 PM, images/USB.png, 354, 231, 34.7
1/20/2015 4:20:58 PM, images/UsageBasedOptimization.png, 457, 253, 44.6
1/20/2015 4:20:58 PM, images/URLInputBox.png, 470, 298, 36.6
1/20/2015 4:20:59 PM, images/UploadParameter.png, 596, 401, 32.7
1/20/2015 4:20:59 PM, images/UploadDocument.png, 396, 236, 40.4
1/20/2015 4:21:00 PM, images/UploadDatabase.png, 458, 280, 38.9
1/20/2015 4:21:00 PM, images/Upload.png, 380, 200, 47.4
1/20/2015 4:21:00 PM, images/UpdateScript.png, 504, 288, 42.9
1/20/2015 4:21:01 PM, images/UpdatePanel.png, 315, 193, 38.7
1/20/2015 4:21:01 PM, images/UpdateListItem.png, 426, 242, 43.2
1/20/2015 4:21:01 PM, images/UpdateDatabaseOK.png, 673, 416, 38.2
1/20/2015 4:21:02 PM, images/UpdateDatabaseError.png, 635, 375, 40.9
1/20/2015 4:21:02 PM, images/UpdateDatabase.png, 498, 309, 38
1/20/2015 4:21:03 PM, images/UpdateAnimation.png, 489, 307, 37.2
1/20/2015 4:21:03 PM, images/UnsyncedCommits.png, 393, 272, 30.8
1/20/2015 4:21:03 PM, images/Unsubscribe.png, 453, 342, 24.5
1/20/2015 4:21:04 PM, images/UnshelvePendingChanges.png, 304, 189, 37.8
1/20/2015 4:21:04 PM, images/Unpin.png, 250, 165, 34
1/20/2015 4:21:05 PM, images/UnnestRelatedDocuments.png, 337, 209, 38
1/20/2015 4:21:05 PM, images/Unlock.png, 286, 182, 36.4
1/20/2015 4:21:05 PM, images/UnlinkVertical.png, 342, 209, 38.9
1/20/2015 4:21:06 PM, images/Unlink.png, 304, 193, 36.5
1/20/2015 4:21:06 PM, images/UnknownMember.png, 530, 292, 44.9
1/20/2015 4:21:06 PM, images/UnknownApplication.png, 384, 233, 39.3
1/20/2015 4:21:07 PM, images/UniversalPlatform.png, 248, 163, 34.3
1/20/2015 4:21:07 PM, images/UnitOfMeasure.png, 245, 165, 32.7
1/20/2015 4:21:07 PM, images/UnitePath.png, 267, 173, 35.2
1/20/2015 4:21:08 PM, images/UniqueKeyWarning.png, 458, 262, 42.8
1/20/2015 4:21:08 PM, images/UniqueKeyError.png, 447, 247, 44.7
1/20/2015 4:21:08 PM, images/UniqueKey.png, 348, 201, 42.2
1/20/2015 4:21:09 PM, images/UnionShortcut.png, 288, 167, 42
1/20/2015 4:21:09 PM, images/UnionSealed.png, 315, 181, 42.5
1/20/2015 4:21:09 PM, images/UnionPublic.png, 249, 147, 41
1/20/2015 4:21:10 PM, images/UnionProtected.png, 351, 228, 35
1/20/2015 4:21:10 PM, images/UnionPrivate.png, 377, 273, 27.6
1/20/2015 4:21:10 PM, images/UnionInternal.png, 351, 225, 35.9
1/20/2015 4:21:11 PM, images/Union.png, 249, 147, 41
1/20/2015 4:21:11 PM, images/Uninstall.png, 534, 411, 23
1/20/2015 4:21:11 PM, images/UngroupClause.png, 311, 207, 33.4
1/20/2015 4:21:12 PM, images/Ungroup.png, 314, 175, 44.3
1/20/2015 4:21:12 PM, images/UnfreezeColumn.png, 393, 250, 36.4
1/20/2015 4:21:12 PM, images/Undock.png, 226, 151, 33.2
1/20/2015 4:21:13 PM, images/UndoCheckedOutItem.png, 469, 287, 38.8
1/20/2015 4:21:13 PM, images/Undo.png, 560, 315, 43.8
1/20/2015 4:21:13 PM, images/Underline.png, 309, 221, 28.5
1/20/2015 4:21:14 PM, images/UncommentCode.png, 396, 254, 35.9
1/20/2015 4:21:14 PM, images/Uncomment.png, 575, 389, 32.3
1/20/2015 4:21:14 PM, images/UnblockingStack.png, 232, 155, 33.2
1/20/2015 4:21:15 PM, images/UMLModel.png, 280, 167, 40.4
1/20/2015 4:21:15 PM, images/UIExplorer.png, 402, 231, 42.5
1/20/2015 4:21:15 PM, images/UIEditor.png, 378, 219, 42.1
