Date,Filename,Original Size (B),Optimized To (B),Savings (%)
1/20/2015 1:14:09 PM, img/2015/GlyphXmlChild/GlyphItemFriend.png, 410, 212, 48.3
1/20/2015 1:14:10 PM, img/2015/GlyphXmlAttributeQuestion/TotalGlyphItems.png, 658, 349, 47
1/20/2015 1:14:10 PM, img/2015/GlyphXmlAttributeQuestion/GlyphItemShortcut.png, 658, 349, 47
1/20/2015 1:14:10 PM, img/2015/GlyphXmlAttributeQuestion/GlyphItemPublic.png, 658, 349, 47
1/20/2015 1:14:11 PM, img/2015/GlyphXmlAttributeQuestion/GlyphItemProtected.png, 658, 349, 47
1/20/2015 1:14:11 PM, img/2015/GlyphXmlAttributeQuestion/GlyphItemPrivate.png, 658, 349, 47
1/20/2015 1:14:12 PM, img/2015/GlyphXmlAttributeQuestion/GlyphItemInternal.png, 658, 349, 47
1/20/2015 1:14:12 PM, img/2015/GlyphXmlAttributeQuestion/GlyphItemFriend.png, 658, 349, 47
1/20/2015 1:14:12 PM, img/2015/GlyphXmlAttributeCheck/TotalGlyphItems.png, 667, 386, 42.1
1/20/2015 1:14:13 PM, img/2015/GlyphXmlAttributeCheck/GlyphItemShortcut.png, 667, 386, 42.1
1/20/2015 1:14:13 PM, img/2015/GlyphXmlAttributeCheck/GlyphItemPublic.png, 667, 386, 42.1
1/20/2015 1:14:13 PM, img/2015/GlyphXmlAttributeCheck/GlyphItemProtected.png, 667, 386, 42.1
1/20/2015 1:14:14 PM, img/2015/GlyphXmlAttributeCheck/GlyphItemPrivate.png, 667, 386, 42.1
1/20/2015 1:14:14 PM, img/2015/GlyphXmlAttributeCheck/GlyphItemInternal.png, 667, 386, 42.1
1/20/2015 1:14:15 PM, img/2015/GlyphXmlAttributeCheck/GlyphItemFriend.png, 667, 386, 42.1
1/20/2015 1:14:15 PM, img/2015/GlyphXmlAttribute/TotalGlyphItems.png, 654, 356, 45.6
1/20/2015 1:14:16 PM, img/2015/GlyphXmlAttribute/GlyphItemShortcut.png, 654, 356, 45.6
1/20/2015 1:14:16 PM, img/2015/GlyphXmlAttribute/GlyphItemPublic.png, 654, 356, 45.6
1/20/2015 1:14:16 PM, img/2015/GlyphXmlAttribute/GlyphItemProtected.png, 654, 356, 45.6
1/20/2015 1:14:17 PM, img/2015/GlyphXmlAttribute/GlyphItemPrivate.png, 654, 356, 45.6
1/20/2015 1:14:17 PM, img/2015/GlyphXmlAttribute/GlyphItemInternal.png, 654, 356, 45.6
1/20/2015 1:14:18 PM, img/2015/GlyphXmlAttribute/GlyphItemFriend.png, 654, 356, 45.6
1/20/2015 1:14:18 PM, img/2015/GlyphWarning/TotalGlyphItems.png, 337, 205, 39.2
1/20/2015 1:14:18 PM, img/2015/GlyphWarning/GlyphItemShortcut.png, 337, 205, 39.2
1/20/2015 1:14:19 PM, img/2015/GlyphWarning/GlyphItemPublic.png, 337, 205, 39.2
1/20/2015 1:14:19 PM, img/2015/GlyphWarning/GlyphItemProtected.png, 337, 205, 39.2
1/20/2015 1:14:20 PM, img/2015/GlyphWarning/GlyphItemPrivate.png, 337, 205, 39.2
1/20/2015 1:14:20 PM, img/2015/GlyphWarning/GlyphItemInternal.png, 337, 205, 39.2
1/20/2015 1:14:21 PM, img/2015/GlyphWarning/GlyphItemFriend.png, 337, 205, 39.2
1/20/2015 1:14:21 PM, img/2015/GlyphVBProject/TotalGlyphItems.png, 353, 225, 36.3
1/20/2015 1:14:23 PM, img/2015/GlyphVBProject/GlyphItemShortcut.png, 353, 225, 36.3
1/20/2015 1:14:23 PM, img/2015/GlyphVBProject/GlyphItemPublic.png, 353, 225, 36.3
1/20/2015 1:14:23 PM, img/2015/GlyphVBProject/GlyphItemProtected.png, 353, 225, 36.3
1/20/2015 1:14:24 PM, img/2015/GlyphVBProject/GlyphItemPrivate.png, 353, 225, 36.3
1/20/2015 1:14:24 PM, img/2015/GlyphVBProject/GlyphItemInternal.png, 353, 225, 36.3
1/20/2015 1:14:24 PM, img/2015/GlyphVBProject/GlyphItemFriend.png, 353, 225, 36.3
1/20/2015 1:14:25 PM, img/2015/GlyphReference/TotalGlyphItems.png, 361, 206, 42.9
1/20/2015 1:14:25 PM, img/2015/GlyphReference/GlyphItemShortcut.png, 361, 206, 42.9
1/20/2015 1:14:26 PM, img/2015/GlyphReference/GlyphItemPublic.png, 361, 206, 42.9
1/20/2015 1:14:26 PM, img/2015/GlyphReference/GlyphItemProtected.png, 361, 206, 42.9
1/20/2015 1:14:27 PM, img/2015/GlyphReference/GlyphItemPrivate.png, 361, 206, 42.9
1/20/2015 1:14:27 PM, img/2015/GlyphReference/GlyphItemInternal.png, 361, 206, 42.9
1/20/2015 1:14:28 PM, img/2015/GlyphReference/GlyphItemFriend.png, 361, 206, 42.9
1/20/2015 1:14:28 PM, img/2015/GlyphRecursion/TotalGlyphItems.png, 438, 231, 47.3
1/20/2015 1:14:28 PM, img/2015/GlyphRecursion/GlyphItemShortcut.png, 438, 231, 47.3
1/20/2015 1:14:29 PM, img/2015/GlyphRecursion/GlyphItemPublic.png, 438, 231, 47.3
1/20/2015 1:14:29 PM, img/2015/GlyphRecursion/GlyphItemProtected.png, 438, 231, 47.3
1/20/2015 1:14:29 PM, img/2015/GlyphRecursion/GlyphItemPrivate.png, 438, 231, 47.3
1/20/2015 1:14:30 PM, img/2015/GlyphRecursion/GlyphItemInternal.png, 438, 231, 47.3
1/20/2015 1:14:30 PM, img/2015/GlyphRecursion/GlyphItemFriend.png, 438, 231, 47.3
1/20/2015 1:14:31 PM, img/2015/GlyphOpenFolder/TotalGlyphItems.png, 365, 238, 34.8
1/20/2015 1:14:31 PM, img/2015/GlyphOpenFolder/GlyphItemShortcut.png, 365, 238, 34.8
1/20/2015 1:14:31 PM, img/2015/GlyphOpenFolder/GlyphItemPublic.png, 365, 238, 34.8
1/20/2015 1:14:32 PM, img/2015/GlyphOpenFolder/GlyphItemProtected.png, 365, 238, 34.8
1/20/2015 1:14:32 PM, img/2015/GlyphOpenFolder/GlyphItemPrivate.png, 365, 238, 34.8
1/20/2015 1:14:33 PM, img/2015/GlyphOpenFolder/GlyphItemInternal.png, 365, 238, 34.8
1/20/2015 1:14:33 PM, img/2015/GlyphOpenFolder/GlyphItemFriend.png, 365, 238, 34.8
1/20/2015 1:14:33 PM, img/2015/GlyphMaybeReference/TotalGlyphItems.png, 353, 209, 40.8
1/20/2015 1:14:34 PM, img/2015/GlyphMaybeReference/GlyphItemShortcut.png, 353, 209, 40.8
1/20/2015 1:14:34 PM, img/2015/GlyphMaybeReference/GlyphItemPublic.png, 353, 209, 40.8
1/20/2015 1:14:35 PM, img/2015/GlyphMaybeReference/GlyphItemProtected.png, 353, 209, 40.8
1/20/2015 1:14:35 PM, img/2015/GlyphMaybeReference/GlyphItemPrivate.png, 353, 209, 40.8
1/20/2015 1:14:36 PM, img/2015/GlyphMaybeReference/GlyphItemInternal.png, 353, 209, 40.8
1/20/2015 1:14:36 PM, img/2015/GlyphMaybeReference/GlyphItemFriend.png, 353, 209, 40.8
1/20/2015 1:14:36 PM, img/2015/GlyphMaybeCaller/TotalGlyphItems.png, 385, 196, 49.1
1/20/2015 1:14:37 PM, img/2015/GlyphMaybeCaller/GlyphItemShortcut.png, 385, 196, 49.1
1/20/2015 1:14:37 PM, img/2015/GlyphMaybeCaller/GlyphItemPublic.png, 385, 196, 49.1
1/20/2015 1:14:37 PM, img/2015/GlyphMaybeCaller/GlyphItemProtected.png, 385, 196, 49.1
1/20/2015 1:14:38 PM, img/2015/GlyphMaybeCaller/GlyphItemPrivate.png, 385, 196, 49.1
1/20/2015 1:14:38 PM, img/2015/GlyphMaybeCaller/GlyphItemInternal.png, 385, 196, 49.1
1/20/2015 1:14:39 PM, img/2015/GlyphMaybeCaller/GlyphItemFriend.png, 385, 196, 49.1
1/20/2015 1:14:39 PM, img/2015/GlyphMaybeCall/TotalGlyphItems.png, 370, 197, 46.8
1/20/2015 1:14:39 PM, img/2015/GlyphMaybeCall/GlyphItemShortcut.png, 370, 197, 46.8
1/20/2015 1:14:40 PM, img/2015/GlyphMaybeCall/GlyphItemPublic.png, 370, 197, 46.8
1/20/2015 1:14:40 PM, img/2015/GlyphMaybeCall/GlyphItemProtected.png, 370, 197, 46.8
1/20/2015 1:14:41 PM, img/2015/GlyphMaybeCall/GlyphItemPrivate.png, 370, 197, 46.8
1/20/2015 1:14:41 PM, img/2015/GlyphMaybeCall/GlyphItemInternal.png, 370, 197, 46.8
1/20/2015 1:14:42 PM, img/2015/GlyphMaybeCall/GlyphItemFriend.png, 370, 197, 46.8
1/20/2015 1:14:42 PM, img/2015/GlyphLibrary/TotalGlyphItems.png, 239, 151, 36.8
1/20/2015 1:14:43 PM, img/2015/GlyphLibrary/GlyphItemShortcut.png, 239, 151, 36.8
1/20/2015 1:14:43 PM, img/2015/GlyphLibrary/GlyphItemPublic.png, 239, 151, 36.8
1/20/2015 1:14:44 PM, img/2015/GlyphLibrary/GlyphItemProtected.png, 239, 151, 36.8
1/20/2015 1:14:45 PM, img/2015/GlyphLibrary/GlyphItemPrivate.png, 239, 151, 36.8
1/20/2015 1:14:45 PM, img/2015/GlyphLibrary/GlyphItemInternal.png, 239, 151, 36.8
1/20/2015 1:14:46 PM, img/2015/GlyphLibrary/GlyphItemFriend.png, 239, 151, 36.8
1/20/2015 1:14:47 PM, img/2015/GlyphKeyword/TotalGlyphItems.png, 263, 167, 36.5
1/20/2015 1:14:47 PM, img/2015/GlyphKeyword/GlyphItemShortcut.png, 263, 167, 36.5
1/20/2015 1:14:48 PM, img/2015/GlyphKeyword/GlyphItemPublic.png, 263, 167, 36.5
1/20/2015 1:14:48 PM, img/2015/GlyphKeyword/GlyphItemProtected.png, 263, 167, 36.5
1/20/2015 1:14:49 PM, img/2015/GlyphKeyword/GlyphItemPrivate.png, 263, 167, 36.5
1/20/2015 1:14:50 PM, img/2015/GlyphKeyword/GlyphItemInternal.png, 263, 167, 36.5
1/20/2015 1:14:50 PM, img/2015/GlyphKeyword/GlyphItemFriend.png, 263, 167, 36.5
1/20/2015 1:14:51 PM, img/2015/GlyphJSharpProject/TotalGlyphItems.png, 353, 190, 46.2
1/20/2015 1:14:52 PM, img/2015/GlyphJSharpProject/GlyphItemShortcut.png, 353, 190, 46.2
1/20/2015 1:14:52 PM, img/2015/GlyphJSharpProject/GlyphItemPublic.png, 353, 190, 46.2
1/20/2015 1:14:52 PM, img/2015/GlyphJSharpProject/GlyphItemProtected.png, 353, 190, 46.2
1/20/2015 1:14:53 PM, img/2015/GlyphJSharpProject/GlyphItemPrivate.png, 353, 190, 46.2
1/20/2015 1:14:53 PM, img/2015/GlyphJSharpProject/GlyphItemInternal.png, 353, 190, 46.2
1/20/2015 1:14:54 PM, img/2015/GlyphJSharpProject/GlyphItemFriend.png, 353, 190, 46.2
1/20/2015 1:14:54 PM, img/2015/GlyphJSharpDocument/TotalGlyphItems.png, 280, 177, 36.8
1/20/2015 1:14:55 PM, img/2015/GlyphJSharpDocument/GlyphItemShortcut.png, 280, 177, 36.8
1/20/2015 1:14:55 PM, img/2015/GlyphJSharpDocument/GlyphItemPublic.png, 280, 177, 36.8
1/20/2015 1:14:55 PM, img/2015/GlyphJSharpDocument/GlyphItemProtected.png, 280, 177, 36.8
1/20/2015 1:14:56 PM, img/2015/GlyphJSharpDocument/GlyphItemPrivate.png, 280, 177, 36.8
1/20/2015 1:14:56 PM, img/2015/GlyphJSharpDocument/GlyphItemInternal.png, 280, 177, 36.8
1/20/2015 1:14:57 PM, img/2015/GlyphJSharpDocument/GlyphItemFriend.png, 280, 177, 36.8
1/20/2015 1:14:57 PM, img/2015/GlyphInformation/TotalGlyphItems.png, 385, 222, 42.3
